,geneSymbol,pax6_baseMean,pax6_log2FoldChange,pax6_pvalue,pax6_padj,pax6_threshold,tbr2_baseMean,tbr2_log2FoldChange,tbr2_pvalue,tbr2_padj,tbr2_threshold,neg_baseMean,neg_log2FoldChange,neg_pvalue,neg_padj,neg_threshold
ENSMUSG00000000001,Gnai3,1300.904534,-0.008124444,0.953290409,0.995438025,FALSE,736.9947582,-0.080673632,0.464232068,0.90993615,FALSE,710.9088138,-0.071192891,0.566247755,0.987476362,FALSE
ENSMUSG00000000003,Pbsn,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
ENSMUSG00000000028,Cdc45,439.2740597,-0.242239279,0.057275245,0.435710764,FALSE,70.75069927,-0.440764638,0.02901586,0.3453831,FALSE,41.99890346,0.010858487,0.941073737,0.998587315,FALSE
ENSMUSG00000000031,H19,49.9511139,-1.006058721,6.70E-07,4.49E-05,TRUE,8.052613441,-0.183929879,0.308438903,0.840471613,FALSE,18.00283536,-0.0266997,0.853171998,0.998587315,FALSE
ENSMUSG00000000037,Scml2,161.5167361,0.185419442,0.198500141,0.727835485,FALSE,23.92503092,0.176513715,0.399213946,0.882478084,FALSE,63.63804136,0.005886617,0.966647825,0.998587315,FALSE
ENSMUSG00000000049,Apoh,0,NA,NA,NA,NA,0.395869292,0.058501456,0.31917559,NA,NA,0.207442246,-0.014665151,0.492349517,NA,NA
ENSMUSG00000000056,Narf,427.9088455,-0.141682286,0.260185025,0.789763508,FALSE,621.1222194,-0.059952383,0.549435957,0.931783266,FALSE,763.9713395,0.069125775,0.466436839,0.975637574,FALSE
ENSMUSG00000000058,Cav2,43.85260596,-0.074156643,0.714991364,0.961183056,FALSE,2.609682724,0.126055719,0.376809762,NA,NA,5.021672054,-0.037434713,0.717733159,NA,NA
ENSMUSG00000000078,Klf6,1010.124368,0.468339378,3.19E-05,0.001375169,TRUE,386.137152,0.179047047,0.256097983,0.80410263,FALSE,850.394377,0.063435968,0.576084853,0.987476362,FALSE
ENSMUSG00000000085,Scmh1,1350.506214,-0.031738641,0.703955491,0.960010729,FALSE,1092.410635,0.128970746,0.235205214,0.792538968,FALSE,1335.955563,0.074795398,0.348685058,0.966032646,FALSE
ENSMUSG00000000088,Cox5a,113.394557,-0.056413488,0.725745986,0.961222618,FALSE,96.46650868,-0.093955273,0.588192903,0.940287997,FALSE,120.8857334,-0.195790816,0.139401526,0.916922264,FALSE
ENSMUSG00000000093,Tbx2,5.128396597,-0.088925635,0.554292125,NA,NA,9.82694358,0.330187159,0.105479135,0.615834402,FALSE,12.40597965,0.040244757,0.769321073,NA,NA
ENSMUSG00000000094,Tbx4,0,NA,NA,NA,NA,1.113222002,0.128184716,0.18019353,NA,NA,1.009875742,0.016160981,0.762504462,NA,NA
ENSMUSG00000000103,Zfy2,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
ENSMUSG00000000120,Ngfr,6.682397915,0.256115673,NA,NA,NA,22.29730198,0.164350691,0.263491961,0.811318678,FALSE,355.8660827,-0.007601109,0.955148798,0.998587315,FALSE
ENSMUSG00000000125,Wnt3,2.703336386,0.060933178,0.586593557,NA,NA,2.366779902,0.254975596,0.068726273,NA,NA,3.223072724,0.093261977,0.28966522,NA,NA
ENSMUSG00000000126,Wnt9a,3.620421849,0.152525897,0.253262767,NA,NA,0.494940862,0.05800896,0.320796644,NA,NA,1.863306637,-0.058115476,0.408382328,NA,NA
ENSMUSG00000000127,Fer,343.7910881,-0.032994552,0.79152237,0.973715863,FALSE,239.8778713,0.063724188,0.613047625,0.946054496,FALSE,441.0416657,-0.002243342,0.984016032,0.998587315,FALSE
ENSMUSG00000000131,Xpo6,2100.785825,-0.008095331,0.930741074,0.993866859,FALSE,1469.838277,0.082243628,0.381268821,0.878859876,FALSE,2212.760333,0.047958737,0.51957519,0.980098489,FALSE
